weight,scope,denominator,threshold,che_variable,subgroup,subgroup_label,subgroup_value,prevalence,prevalence_se
hhs_wt,oopg,nonfood,.25,che_oopg_nf25,ad_4,Other urban,2,.051966468669255,.0045418469
hhs_wt,oopg,nonfood,.25,che_oopg_nf25,ad_4,Rural,3,.0415107222510265,.0043858849
hhs_wt,oopg,nonfood,.25,che_oopg_nf25,caste_ethnicity,Hill Caste,11,.0454351673224922,.004355228
hhs_wt,oopg,nonfood,.25,che_oopg_nf25,caste_ethnicity,Madhesh/Tarai Caste,12,.0708743171471791,.0099632628
hhs_wt,oopg,nonfood,.25,che_oopg_nf25,caste_ethnicity,Mountain/Hill Janajati,21,.0407497427259383,.0049867979
hhs_wt,oopg,nonfood,.25,che_oopg_nf25,caste_ethnicity,Tarai Janajati,22,.033527334608747,.0074044755
hhs_wt,oopg,nonfood,.25,che_oopg_nf25,caste_ethnicity,Hill Dalit,31,.0499392796174764,.0079012215
hhs_wt,oopg,nonfood,.25,che_oopg_nf25,caste_ethnicity,Madhesh/Tarai Dalit,32,.0986083000423753,.02168273
hhs_wt,oopg,nonfood,.25,che_oopg_nf25,caste_ethnicity,Religions/Linguistic group,40,.0635453181911143,.016639333
hhs_wt,oopg,nonfood,.25,che_oopg_nf25,caste_ethnicity,Others & Not stated,50,.0694898010249617,.045331012
hhs_wt,oopg,nonfood,.25,che_oopg_nf25,head_edu_n,No education,0,.0696821213856762,.0069947424
hhs_wt,oopg,nonfood,.25,che_oopg_nf25,head_edu_n,Informal/literate,1,.0449084458541455,.013414975
hhs_wt,oopg,nonfood,.25,che_oopg_nf25,head_edu_n,Primary (1-5),2,.0500844234029725,.0060347393
hhs_wt,oopg,nonfood,.25,che_oopg_nf25,head_edu_n,Lower secondary (6-8),3,.0450137240711109,.0070843673
hhs_wt,oopg,nonfood,.25,che_oopg_nf25,head_edu_n,Secondary (9-SLC),4,.0357742114743175,.0047049196
hhs_wt,oopg,nonfood,.25,che_oopg_nf25,head_edu_n,Higher secondary,5,.0411324763490934,.0076900655
hhs_wt,oopg,nonfood,.25,che_oopg_nf25,head_edu_n,Bachelor and above,6,.0309644220112151,.011017323
hhs_wt,oopg,nonfood,.25,che_oopg_nf25,has_elderly,0,0,.0456949420050516,.0033129898
hhs_wt,oopg,nonfood,.25,che_oopg_nf25,has_elderly,1,1,.0632777354455465,.0063816025
hhs_wt,oopg,nonfood,.25,che_oopg_nf25,has_disabled_member,0,0,.0479096911663868,.0031223695
hhs_wt,oopg,nonfood,.25,che_oopg_nf25,has_disabled_member,1,1,.0775340562721544,.012543606
hhs_wt,oop,nonfood,.25,che_oop_nf25,poor,0,0,.1314125852085077,.0053427946
hhs_wt,oop,nonfood,.25,che_oop_nf25,poor,1,1,.199216517409102,.014579029
hhs_wt,oop,nonfood,.25,che_oop_nf25,quintile_pcep,1 (poorest),1,.200397698732983,.014746021
hhs_wt,oop,nonfood,.25,che_oop_nf25,quintile_pcep,2,2,.1701643190290868,.011317719
hhs_wt,oop,nonfood,.25,che_oop_nf25,quintile_pcep,3,3,.1525998584350497,.010658917
hhs_wt,oop,nonfood,.25,che_oop_nf25,quintile_pcep,4,4,.1284426154960544,.010148156
hhs_wt,oop,nonfood,.25,che_oop_nf25,quintile_pcep,5 (richest),5,.0885813133340589,.009395998
hhs_wt,oop,nonfood,.25,che_oop_nf25,prov,Koshi,1,.1248326151177467,.012071879
hhs_wt,oop,nonfood,.25,che_oop_nf25,prov,Madhesh,2,.1657182817141652,.016720027
hhs_wt,oop,nonfood,.25,che_oop_nf25,prov,Bagmati,3,.1443868984443846,.011160827
hhs_wt,oop,nonfood,.25,che_oop_nf25,prov,Gandaki,4,.1164470252932878,.012485405
hhs_wt,oop,nonfood,.25,che_oop_nf25,prov,Lumbini,5,.1354998965474133,.014158122
hhs_wt,oop,nonfood,.25,che_oop_nf25,prov,Karnali,6,.1369006350331722,.014423435
hhs_wt,oop,nonfood,.25,che_oop_nf25,prov,Sudurpaschim,7,.1745919254969175,.015147101
hhs_wt,oop,nonfood,.25,che_oop_nf25,ad_4,Kathmandu,1,.1552752764254741,.017373644
hhs_wt,oop,nonfood,.25,che_oop_nf25,ad_4,Other urban,2,.143606422416352,.0076377974
hhs_wt,oop,nonfood,.25,che_oop_nf25,ad_4,Rural,3,.1361233047805009,.0079219788
hhs_wt,oop,nonfood,.25,che_oop_nf25,caste_ethnicity,Hill Caste,11,.1492701138614533,.0084339846
hhs_wt,oop,nonfood,.25,che_oop_nf25,caste_ethnicity,Madhesh/Tarai Caste,12,.1790382176173497,.015328922
hhs_wt,oop,nonfood,.25,che_oop_nf25,caste_ethnicity,Mountain/Hill Janajati,21,.1218067337441218,.0086520016
hhs_wt,oop,nonfood,.25,che_oop_nf25,caste_ethnicity,Tarai Janajati,22,.083812526740031,.01444041
hhs_wt,oop,nonfood,.25,che_oop_nf25,caste_ethnicity,Hill Dalit,31,.1733422965606162,.01827999
hhs_wt,oop,nonfood,.25,che_oop_nf25,caste_ethnicity,Madhesh/Tarai Dalit,32,.18486179319765,.029510461
hhs_wt,oop,nonfood,.25,che_oop_nf25,caste_ethnicity,Religions/Linguistic group,40,.13460673927981,.022031361
hhs_wt,oop,nonfood,.25,che_oop_nf25,caste_ethnicity,Others & Not stated,50,.277959204099847,.18132405
hhs_wt,oop,nonfood,.25,che_oop_nf25,head_edu_n,No education,0,.1875140256686074,.0099329147
hhs_wt,oop,nonfood,.25,che_oop_nf25,head_edu_n,Informal/literate,1,.1442083821852018,.023150157
hhs_wt,oop,nonfood,.25,che_oop_nf25,head_edu_n,Primary (1-5),2,.1542758490526109,.010310356
hhs_wt,oop,nonfood,.25,che_oop_nf25,head_edu_n,Lower secondary (6-8),3,.1167836525335907,.010624567
hhs_wt,oop,nonfood,.25,che_oop_nf25,head_edu_n,Secondary (9-SLC),4,.1227121386368177,.0093468986
hhs_wt,oop,nonfood,.25,che_oop_nf25,head_edu_n,Higher secondary,5,.1040300778680039,.012112812
hhs_wt,oop,nonfood,.25,che_oop_nf25,head_edu_n,Bachelor and above,6,.077175362666096,.014046025
hhs_wt,oop,nonfood,.25,che_oop_nf25,has_elderly,0,0,.1208314498384346,.0049973768
hhs_wt,oop,nonfood,.25,che_oop_nf25,has_elderly,1,1,.2143436716180012,.011665938
hhs_wt,oop,nonfood,.25,che_oop_nf25,has_disabled_member,0,0,.1324445781577341,.0051025189
hhs_wt,oop,nonfood,.25,che_oop_nf25,has_disabled_member,1,1,.2925801329244122,.028378854
hhs_wt,oopg,nonfood,.4,che_oopg_nf40,poor,0,0,.0180244182670325,.001817152
hhs_wt,oopg,nonfood,.4,che_oopg_nf40,poor,1,1,.0395089496105148,.0067359167
hhs_wt,oopg,nonfood,.4,che_oopg_nf40,quintile_pcep,1 (poorest),1,.0400300223877577,.0068274522
hhs_wt,oopg,nonfood,.4,che_oopg_nf40,quintile_pcep,2,2,.0251350844859281,.0043799989
hhs_wt,oopg,nonfood,.4,che_oopg_nf40,quintile_pcep,3,3,.0217814978211332,.0038622292
hhs_wt,oopg,nonfood,.4,che_oopg_nf40,quintile_pcep,4,4,.0190778375593743,.0038177227
hhs_wt,oopg,nonfood,.4,che_oopg_nf40,quintile_pcep,5 (richest),5,.0087832528659817,.0020788671
hhs_wt,oopg,nonfood,.4,che_oopg_nf40,prov,Koshi,1,.0230679882446566,.0045593674
hhs_wt,oopg,nonfood,.4,che_oopg_nf40,prov,Madhesh,2,.0312755020418945,.007125359
hhs_wt,oopg,nonfood,.4,che_oopg_nf40,prov,Bagmati,3,.0226313007580011,.0039238697
hhs_wt,oopg,nonfood,.4,che_oopg_nf40,prov,Gandaki,4,.022179527590011,.0046103126
hhs_wt,oopg,nonfood,.4,che_oopg_nf40,prov,Lumbini,5,.010095909247883,.0033626328
hhs_wt,oopg,nonfood,.4,che_oopg_nf40,prov,Karnali,6,.0232395770039871,.0051756361
hhs_wt,oopg,nonfood,.4,che_oopg_nf40,prov,Sudurpaschim,7,.0183607742483017,.0045725713
hhs_wt,oopg,nonfood,.4,che_oopg_nf40,ad_4,Kathmandu,1,.022059653628508,.0064173983
hhs_wt,oopg,nonfood,.4,che_oopg_nf40,ad_4,Other urban,2,.0227668143565076,.0026948871
hhs_wt,oopg,nonfood,.4,che_oopg_nf40,ad_4,Rural,3,.0191973336171662,.003015263
hhs_wt,oopg,nonfood,.4,che_oopg_nf40,caste_ethnicity,Hill Caste,11,.0199725666248349,.0030565145
hhs_wt,oopg,nonfood,.4,che_oopg_nf40,caste_ethnicity,Madhesh/Tarai Caste,12,.0273275572390655,.0068133166
hhs_wt,oopg,nonfood,.4,che_oopg_nf40,caste_ethnicity,Mountain/Hill Janajati,21,.0194187817946738,.0032865806
hhs_wt,oopg,nonfood,.4,che_oopg_nf40,caste_ethnicity,Tarai Janajati,22,.0141508247838029,.004916471
hhs_wt,oopg,nonfood,.4,che_oopg_nf40,caste_ethnicity,Hill Dalit,31,.0227200961296399,.004783845
hhs_wt,oopg,nonfood,.4,che_oopg_nf40,caste_ethnicity,Madhesh/Tarai Dalit,32,.0404766959605204,.013023398
hhs_wt,oopg,nonfood,.4,che_oopg_nf40,caste_ethnicity,Religions/Linguistic group,40,.0248067651162074,.0093078502
hhs_wt,oopg,nonfood,.4,che_oopg_nf40,caste_ethnicity,Others & Not stated,50,.0694898010249617,.045331012
hhs_wt,oopg,nonfood,.4,che_oopg_nf40,head_edu_n,No education,0,.0298884831519407,.0038906347
hhs_wt,oopg,nonfood,.4,che_oopg_nf40,head_edu_n,Informal/literate,1,.0194605547653852,.0099532809
