psu_number,hh_number,hhsize,hhs_wt,ind_wt,paasche,pcep_food,pcep_nonfood,n_adults,n_children,adult_equiv,oopg,nominal_total_cons_month,food_nom_mo,x_oopg_mo,food_share_oopg,food_equiv_mo,food_mid_4555,subsistence_line_ae,subsistence_hh_ae_mo,ctp_ae_mo,ctp_rule_subsistence,oopg_sh_ctp_ae,che_oopg_ctp10_ae,over_oopg_ctp10_ae,che_oopg_ctp25_ae,over_oopg_ctp25_ae,che_oopg_ctp40_ae,over_oopg_ctp40_ae
4616,3,2,833.27234,1666.5447,.9365580687876753,30335.58313477196,62324.934,2,0,1.6817929,7600,12421.9143359375,4735.172526041666,20021.9143359375,.2364994898386147,2815.550387923287,0,8014.258409660657,13478.32253359675,15286.74180989584,0,.4971628417953758,1,.3971628417953758,1,.2471628417953758,1,.0971628417953758
4616,4,3,833.27234,2499.8169,.8979183650540368,60434.86828753557,89014.445,1,2,1.6817929,10670,30034.0669140625,13566.39453125,40704.0669140625,.3332933428959912,8066.626332010694,0,8014.258409660657,13478.32253359675,27225.74438046575,1,.3919084764365759,1,.2919084764365759,1,.1419084764365759,0,0
4616,5,3,833.27234,2499.8169,.9478655226295059,84712.57608946585,121770.28,1,2,1.6817929,820,42601.53458333333,20074.03255208333,43421.53458333333,.4623059213524073,11936.09099317231,0,8014.258409660657,13478.32253359675,29943.21204973658,1,.0273851715920775,0,0,0,0,0,0
4616,6,3,833.27234,2499.8169,.7108372332385869,141638.7158814928,113495.2,3,0,2.2795072,0,46167.12936197917,25170.51822916667,46167.12936197917,.5452043169462425,11042.08781125494,0,8014.258409660657,18268.55942840848,27898.56993357068,1,0,0,0,0,0,0,0
4616,7,4,833.27234,3333.0894,.8672401159194135,67284.95357440575,92845.625,2,2,2.2795072,2300,42352.6578125,19450.73697916666,44652.6578125,.4356008786944291,8532.869437257219,0,8014.258409660657,18268.55942840848,26384.09838409152,1,.0871737198109753,0,0,0,0,0,0
4616,8,4,833.27234,3333.0894,.9605050142891643,63881.01492802607,49531.086,3,1,2.5588865,0,32670.34625,20452.67838541666,32670.34625,.6260318831306131,7992.803964340414,0,8014.258409660657,20507.57787651267,12217.66786458334,0,0,0,0,0,0,0,0
4616,9,4,833.27234,3333.0894,.9154238138881241,85751.92208413924,48405.727,3,1,2.5588865,4600,38106.52973958333,26166.45052083333,42706.52973958333,.6127037406315052,10225.71741042772,0,8014.258409660657,20507.57787651267,22198.95186307066,1,.2072169906207322,1,.1072169906207322,0,0,0,0
4616,10,5,833.27234,4166.3618,.9904027494425631,52915.1493213209,106859.18,3,2,2.8284271,3030,54784.6259765625,21836.37890625,57814.6259765625,.3776964485613426,7720.325932711881,0,8014.258409660657,22667.74548266752,35978.2470703125,0,.0842175549597637,0,0,0,0,0,0
4616,11,5,833.27234,4166.3618,.9908015508403845,63613.52704438157,78187.438,3,2,2.8284271,0,50369.61874999999,26261.82552083333,50369.61874999999,.5213822572527083,9284.957614964873,1,8014.258409660657,22667.74548266752,27701.87326733247,1,0,0,0,0,0,0,0
4616,12,7,833.27234,5832.9063,.9014937732704885,33165.23184795109,69883.57,5,2,3.8336587,0,47607.05368489584,17440.64583333334,47607.05368489584,.3663458349842533,4549.347560614853,0,8014.258409660657,30723.93143794318,30166.4078515625,0,0,0,0,0,0,0,0
4617,1,1,896.74261,896.74261,.8694483585307334,132199.0803821123,82692.609,1,0,1,280,14677.73369791667,9578.356119791666,14957.73369791667,.6403614553671158,9578.356119791666,0,8014.258409660657,8014.258409660657,6943.47528825601,1,.0403256277837676,0,0,0,0,0,0
4617,2,2,896.74261,1793.4852,.9779956440982132,73409.63645466934,138435.91,1,1,1.3554029,600,29039.47921875,11965.71744791667,29639.47921875,.4037087615340801,8828.162487812897,0,8014.258409660657,10862.54946224341,18776.92975650659,1,.0319541057979454,0,0,0,0,0,0
4617,3,3,896.74261,2690.2278,.9076063099168717,93802.2116378458,152540.55,2,1,1.9881768,300,49503.87096354167,21283.86979166667,49803.87096354167,.4273537253208143,10705.21975161424,0,8014.258409660657,15933.76282091417,33870.1081426275,1,.0088573676451429,0,0,0,0,0,0
4617,4,3,896.74261,2690.2278,.8678161334336306,67029.63172991305,58886.813,3,0,2.2795072,0,25436.40927083333,14542.34895833334,25436.40927083333,.571713908338797,6379.6022282035,0,8014.258409660657,18268.55942840848,10894.0603125,0,0,0,0,0,0,0,0
4617,5,4,896.74261,3586.9705,.950758011189461,129562.4518676319,101756.65,2,2,2.2795072,4500,66160.81963541667,41060.84635416666,70660.81963541667,.5810977931762642,18013.03679642858,0,8014.258409660657,18268.55942840848,52392.26020700819,1,.0858905491425633,0,0,0,0,0,0
4617,6,4,896.74261,3586.9705,.9454580797652432,60811.87866682149,84902.328,3,1,2.5588865,0,40107.60161458333,19165.02734375,40107.60161458333,.47784027396895,7489.596406064878,0,8014.258409660657,20507.57787651267,20942.57427083333,0,0,0,0,0,0,0,0
4617,7,4,896.74261,3586.9705,.9276980612362529,104666.808490583,156463.17,3,1,2.5588865,0,70960.64750000001,32366.3984375,70960.64750000001,.4561175747092781,12648.62590941295,0,8014.258409660657,20507.57787651267,50453.06962348733,1,0,0,0,0,0,0,0
4617,8,4,896.74261,3586.9705,.939778521602837,43261.63924842488,243957.8,4,0,2.8284271,0,73728.37635416667,13552.11979166667,73728.37635416667,.1838114503778949,4791.397984071245,0,8014.258409660657,22667.74548266752,60176.25656250001,0,0,0,0,0,0,0,0
4617,9,5,896.74261,4483.7129,.8550024056954169,71535.76363361554,39404.047,3,2,2.8284271,1430,37634.26861979167,25484.6875,39064.26861979167,.6523784624778138,9010.19782803799,0,8014.258409660657,22667.74548266752,16396.52313712415,1,.0872136115712403,0,0,0,0,0,0
4617,10,4,896.74261,3586.9705,.8848867305677345,77759.6433368971,85306.563,3,1,2.5588865,700,43978.44427083334,22936.15885416666,44678.44427083334,.5133607319702419,8963.335655199084,1,8014.258409660657,20507.57787651267,24170.86639432067,1,.0289604844352818,0,0,0,0,0,0
4617,11,7,896.74261,6277.1982,.8698718294749758,78707.30553312215,46119.426,5,2,3.8336587,0,59846.29171223958,39938.07291666667,59846.29171223958,.6673441540655837,10417.74349042955,0,8014.258409660657,30723.93143794318,29122.3602742964,1,0,0,0,0,0,0,0
4617,12,9,896.74261,8070.6836,.907280445414817,39686.06679784513,56751.945,6,3,4.532063,0,58502.12391927084,27004.79427083333,58502.12391927084,.4616036557595449,5958.609628111818,0,8014.258409660657,36321.12406980466,31497.32964843751,0,0,0,0,0,0,0,0
4618,1,2,818.30707,1636.6141,1.035193978624551,55316.84422912267,258811.14,1,1,1.3554029,500,41463.9846875,9543.944010416666,41963.9846875,.2274317866019898,7041.407158850855,0,8014.258409660657,10862.54946224341,32420.04067708334,0,.0154225593046043,0,0,0,0,0,0
4618,2,2,818.30707,1636.6141,.9804383998468077,54449.61376037624,46716.035,2,0,1.6817929,300,14659.05970052083,8897.415364583332,14959.05970052083,.5947844010725853,5290.434750475401,0,8014.258409660657,13478.32253359675,6061.644335937501,0,.049491521338756,0,0,0,0,0,0
4618,3,3,818.30707,2454.9211,1.023612064986617,54751.92319797385,78866.586,2,1,1.9881768,300,28601.50069010416,14011.18229166667,28901.50069010416,.4847908225216858,7047.251598529547,1,8014.258409660657,15933.76282091417,14890.3183984375,0,.020147319350235,0,0,0,0,0,0
4618,4,3,818.30707,2454.9211,1.010677529995969,44934.21358658395,65181.801,3,0,2.2795072,0,23412.13314453125,11353.5,23412.13314453125,.484940860788331,4980.681876458669,1,8014.258409660657,18268.55942840848,12058.63314453125,0,0,0,0,0,0,0,0
4618,5,3,818.30707,2454.9211,.9100625421202019,28470.7166961694,146396.61,1,2,1.6817929,200,33560.9059375,6477.533203125,33760.9059375,.1918649107081592,3851.564229717801,0,8014.258409660657,13478.32253359675,27283.372734375,0,.0073304720038522,0,0,0,0,0,0
4618,6,5,818.30707,4091.5354,.961798662547122,36566.93065766963,120790.43,3,2,2.8284271,300,51897.89290364584,14654.17708333333,52197.89290364584,.2807426941616984,5181.034082836373,0,8014.258409660657,22667.74548266752,37543.7158203125,0,.0079906848175558,0,0,0,0,0,0
4618,7,4,818.30707,3273.2283,.6155210964532819,63907.78491657377,37056.957,1,3,1.9881768,0,22252.91268229166,13112.19661458333,22252.91268229166,.5892350723605592,6595.085741430625,0,8014.258409660657,15933.76282091417,9140.71606770833,0,0,0,0,0,0,0,0
4618,8,4,818.30707,3273.2283,1.070143142529118,46682.55819794752,101080.41,2,2,2.2795072,0,41585.50864583333,16652.33984375,41585.50864583333,.4004361227265759,7305.236910238798,0,8014.258409660657,18268.55942840848,24933.16880208333,0,0,0,0,0,0,0,0
4618,9,5,818.30707,4091.5354,1.059553907717033,28284.6392068648,83662.422,3,2,2.8284271,400,38283.03841145833,12487.125,38683.03841145833,.3228062094600402,4414.865458069237,0,8014.258409660657,22667.74548266752,26195.91341145833,0,.0152695572670902,0,0,0,0,0,0
4618,10,4,818.30707,3273.2283,.9851278766934243,48580.67751380226,64669.969,3,1,2.5588865,0,31904.6521875,15952.7265625,31904.6521875,.5000125520487623,6234.245398475768,1,8014.258409660657,20507.57787651267,15951.925625,0,0,0,0,0,0,0,0
