cum_hh_total,oopg_share_total,cum_hh_ctp,oopg_share_ctp
0.0025957455957082544,0.5730477495517113,0.003224916830638269,0.7465819116430867
0.0028389769446846313,0.561289503508894,0.0032777547286521555,0.7462453850054164
0.0029277677864984054,0.5587686754676029,0.0034310083249829435,0.7447484465076216
0.003047460749366503,0.5562176066829668,0.003544052347994919,0.740089573332931
0.0031584635259773396,0.5513519491741439,0.0036021775819148486,0.7337440052101833
0.0032640349988256622,0.5504698478486785,0.0037836998462010456,0.7335640683679925
0.0033573429722984645,0.5473700314688472,0.003837325642882824,0.725244062826833
0.003409089588353808,0.5322941960495873,0.0038932916775062266,0.7238835248395302
0.003454219459394665,0.5300909165636615,0.003982950276485573,0.7212378539518189
0.003518554475143583,0.5174688153907234,0.004083733212611481,0.7200674036252136
0.003641030575887494,0.5145943796090031,0.004175514785319504,0.7161726274005319
0.0038012538542460256,0.5072598569045648,0.004261889858734029,0.7150726859619658
0.003908869266309418,0.5021604799308199,0.004372892635344866,0.70558231239422
0.003977346258865508,0.4969204301328482,0.004421872007072866,0.7055070641851988
0.004107342581923799,0.49566522910774646,0.004510145956032118,0.7030755280818128
0.004218825851680342,0.49166851715977733,0.004552423682654676,0.7015145638480975
0.004318284076256494,0.48771995282135816,0.004590114523543776,0.6980093755290397
0.0044096209439105786,0.48321371547351044,0.004631743443407921,0.6963018513246723
0.004449511826523272,0.4823358601624668,0.004659369769057289,0.6958597088293619
0.004504789065676655,0.4820762154485559,0.004760814109553785,0.6920210164070599
0.00460623340617315,0.47680020120658073,0.004837114151313288,0.6910883068639541
0.004658845783143991,0.4735805219724569,0.0049061255824878565,0.6906673632099498
0.004724884980592558,0.46641495656879844,0.0050258185453559544,0.6868780565226822
0.0048327819743473775,0.4640414187891737,0.005162015577923744,0.6782187890248604
0.004902566311077571,0.4634121442285181,0.0052310289543803,0.6761803096858222
0.005034560438737497,0.46142241467927725,0.00533601404788213,0.6756169872011473
0.005141154458831674,0.4611505073184568,0.005404491040438219,0.6744282960539886
0.005232936031539698,0.45956755268807487,0.00545524546499087,0.674232584612994
0.005338507504388019,0.45663753516064426,0.005561839485085047,0.6686072266522001
0.005393442777408876,0.4539894389335342,0.005649794152957839,0.6668442363268361
0.005430887145123826,0.4523517771271493,0.005694924023998695,0.6667923831488471
0.005556803557762915,0.44996693129745297,0.005784966998806308,0.6658926688139472
0.005646846532570528,0.4497690429376101,0.005836713614861652,0.6624570088880551
0.005699435400511231,0.4489827483355826,0.005980422774312668,0.6612182694495597
0.0058002183366371385,0.4470503848594968,0.006112416901972594,0.6597518927691088
0.005872444686084057,0.4453633233108608,0.006237727329541049,0.6585713164709343
0.005900071011733425,0.44527364294408556,0.006337619352000515,0.6510739418793442
0.006008230669524706,0.44128955531948727,0.006377510234613208,0.6474453552138978
0.006069034042813845,0.4385053509274259,0.006453810276372712,0.6466001980819504
0.00610285090346834,0.43840701993151676,0.006492859263876655,0.6452993724999974
0.00615183027519634,0.43536804478421753,0.006586473054366263,0.6451679006703886
0.006208024829485241,0.43266402947378496,0.006625522041870206,0.638642380352714
0.006303251471109898,0.42517856224909206,0.006731093514718529,0.6335970830277798
0.006439448503677688,0.4227566753151738,0.00683411330426888,0.6333060973931781
0.006583375891487963,0.4215431244573562,0.006890307858557781,0.6306779910209298
0.0067086863190564195,0.42131593960466174,0.006983615832030584,0.6302864471257812
0.0069505572618327625,0.4160967626433329,0.007034231963173785,0.6288350357712714
0.007094266421283777,0.41590505407496786,0.007215754227459982,0.6249651772577581
0.00718254037024303,0.412341705356503,0.007359681615270258,0.6209738047757262
0.0072385064048664325,0.41059717251940736,0.007459139839846409,0.6192873031878555
0.0073929555766038295,0.4091629531371571,0.007496584207561358,0.6166493776574782
0.007492847599063295,0.4088468408841134,0.00760419961962475,0.6118753363702324
0.007576820130297154,0.4080283551492852,0.007664260838104098,0.6006585364400546
0.0077205292897481684,0.4053640237813772,0.007741537190559848,0.5970698761642651
0.007759578277252112,0.40241843892919577,0.007777341651580222,0.5946378007662084
0.007865149750100435,0.40127248548019073,0.007847125988310416,0.5945534722718461
0.007909179394283476,0.40023230893589995,0.007864720592436708,0.593355354952205
0.007986455746739226,0.3983151153064257,0.007925523965725849,0.5925841320020186
0.008118449874399152,0.3929505897002054,0.007974754695069673,0.5886994980648378
0.008154254335419525,0.3923844988410435,0.008063545536883446,0.5839330832345043
0.008193303322923468,0.3910996083767188,0.008129584734332012,0.5817014986960568
0.008262316699380025,0.38672312831053945,0.008182173602272715,0.5790569023478451
0.008347077783372224,0.381021736540374,0.008312663517275078,0.5789855555880782
0.008415554775928315,0.3797582426115154,0.008380966942258159,0.5788993967552591
0.008531527000486447,0.3795840833440535,0.008497069245869049,0.5781868328250783
0.008713049264772644,0.3755097689046068,0.00860264071871737,0.5726878447180268
0.008763330059881972,0.3724816679331776,0.008686575134316818,0.5693243088213054
0.008823304025243681,0.37201902415384924,0.008720391994971313,0.5670377207638561
0.00892828911874551,0.3698239760938748,0.008846308407610403,0.5652151107887342
0.009129306727285244,0.36979260334930997,0.008906534639518822,0.5631104891462988
0.009222920517774853,0.3695069705000651,0.008962500674142225,0.560479583296399
0.009247426315925362,0.36936118510113364,0.009046473205376084,0.5582894596110969
0.009337384632740434,0.36690695878073665,0.009090502849559125,0.5557018536366661
0.009397473688289977,0.3615718488695583,0.009159935642403775,0.5518184976291799
0.00948506893770778,0.3595057983727927,0.009232161991850693,0.551053799441361
0.00955450173055243,0.35908193053565163,0.009433179600390426,0.5489027453642535
0.009636268541368334,0.358920901307707,0.009468234841149947,0.548772781295854
0.009722643614782858,0.3572266867001407,0.009587344397809961,0.5476023343298276
0.01023253178918996,0.3536914126840525,0.009792810059261447,0.5450829635892682
0.010414054053476157,0.3531438386886936,0.010302698233668549,0.5409002417761327
0.010468223815561345,0.35268534863246126,0.010368737431117115,0.5381673828204558
0.010515514266284418,0.3522362857264616,0.010536480235226171,0.5380204985171079
0.010646004181286781,0.35150558048019065,0.010666970150228534,0.5355777641799555
0.010780891614342616,0.3471732049210756,0.010702025390988055,0.5282809185082504
0.01083659261491351,0.3470902482582325,0.010943896333764398,0.5269788621282717
0.010925383456727285,0.3467245049398706,0.01099478645235406,0.5263087378055212
0.011003116024529956,0.3444983331528892,0.011082381701771862,0.5248576616773972
0.011059016458978024,0.34402162534271136,0.011154543160349322,0.5211147346894934
0.011131177917555482,0.3438260510228536,0.011289430593405156,0.5209797169108928
0.011197217115004049,0.3428739085685275,0.01139500206625348,0.5199586547408878
0.011281151530603497,0.3426116728563438,0.011574396226023572,0.5196984369991845
0.011353489933389731,0.33903775306070405,0.011669622867648229,0.5193636426967664
0.011427520867420389,0.33749733655345143,0.011724189475753643,0.5179182082120755
0.011506739511736325,0.33469597541197044,0.011782393068860026,0.5178448422741213
0.01157936271569815,0.33154324782459355,0.011963915333146223,0.5173340369664022
