psu_number,hh_number,prov,domain,ad_4,hhsize,hhs_wt,ind_wt,pcep_mo_real,pline_mo_real,oopg,oopg_pc_mo_real,raw_post_oopg_mo_real,post_oopg_mo_real_floored,negative_raw_post_oopg,pre_poverty_multiple,post_poverty_multiple,poor_pre_oopg,poor_post_oopg,pushed_below_poverty_oopg,rank_pre_oopg,cum_population_share,paasche,pcep,pline
4440,4,4,41,2,3.0,705.77587890625,2117.32763671875,2746.5537109375,6075.671223958333,40.0,15.48801684108397,2731.065694096416,2731.065694096416,False,0.45205765909566537,0.44950847296129887,True,True,False,49,0.5210007241780031,0.8608806066096817,32958.64453125,72908.0546875
4117,7,1,12,3,4.0,528.0997924804688,2112.399169921875,2759.9866536458335,6075.671223958333,0.0,0.0,2759.9866536458335,2759.9866536458335,False,0.45426859879486486,0.45426859879486486,True,True,False,50,0.5283506273137006,0.806544001920583,33119.83984375,72908.0546875
4352,12,3,31,2,7.0,618.7371215820312,4331.15966796875,2760.806640625,6075.671223958333,0.0,0.0,2760.806640625,2760.806640625,False,0.454403561163456,0.454403561163456,True,True,False,51,0.5434205082709004,0.9885831874863709,33129.6796875,72908.0546875
4095,6,1,12,3,4.0,578.4989013671875,2313.99560546875,2764.1533203125,6075.671223958333,0.0,0.0,2764.1533203125,2764.1533203125,False,0.45495439407790056,0.45495439407790056,True,True,False,52,0.5514718480928404,0.8445616079665855,33169.83984375,72908.0546875
4715,10,7,71,2,6.0,584.1874389648438,3505.12451171875,2765.416015625,6075.671223958333,350.0,69.38015438692499,2696.035861238075,2696.035861238075,False,0.4551622221953143,0.44374288236775145,True,True,False,53,0.5636676139341255,0.840778373135568,33184.9921875,72908.0546875
4531,8,5,51,2,7.0,696.1561279296875,4873.0927734375,2769.9007161458335,6075.671223958333,0.0,0.0,2769.9007161458335,2769.9007161458335,False,0.45590036294643804,0.45590036294643804,True,True,False,54,0.5806231024450199,1.041365884168317,33238.80859375,72908.0546875
4628,12,6,61,2,11.0,278.0476379394531,3058.52392578125,2784.8782552083335,6075.671223958333,0.0,0.0,2784.8782552083335,2784.8782552083335,False,0.45836552910016914,0.45836552910016914,True,True,False,55,0.5912649616697312,1.2424523045396632,33418.5390625,72908.0546875
4669,10,6,62,3,6.0,360.61981201171875,2163.71875,2786.9124348958335,6075.671223958333,200.0,17.037037037037035,2769.8753978587965,2769.8753978587965,False,0.45870033650045744,0.45589619578760016,True,True,False,56,0.5987934266738055,1.956521739130435,33442.94921875,72908.0546875
4506,11,5,51,2,5.0,429.2192077636719,2146.095947265625,2788.1246744791665,6075.671223958333,0.0,0.0,2788.1246744791665,2788.1246744791665,False,0.4588998600656156,0.4588998600656156,True,True,False,57,0.6062605747189824,0.844909950806405,33457.49609375,72908.0546875
4630,11,6,61,2,6.0,604.6152954101562,3627.69189453125,2801.0530598958335,6075.671223958333,0.0,0.0,2801.0530598958335,2801.0530598958335,False,0.46102775424226,0.46102775424226,True,True,False,58,0.6188828027574198,1.095171653530505,33612.63671875,72908.0546875
4305,10,3,31,2,4.0,580.3326416015625,2321.33056640625,2806.8834635416665,6075.671223958333,0.0,0.0,2806.8834635416665,2806.8834635416665,False,0.46198738543870166,0.46198738543870166,True,True,False,59,0.6269596639169756,0.9314761714765103,33682.6015625,72908.0546875
4774,8,7,72,3,5.0,340.18328857421875,1700.91650390625,2828.1471354166665,6075.671223958333,0.0,0.0,2828.1471354166665,2828.1471354166665,False,0.46548719164795643,0.46548719164795643,True,True,False,60,0.6328778500835053,0.9889743527123516,33937.765625,72908.0546875
4214,1,2,22,3,1.0,557.509033203125,557.509033203125,2829.6640625,6075.671223958333,0.0,0.0,2829.6640625,2829.6640625,False,0.46573686399318664,0.46573686399318664,True,True,False,61,0.6348176526784243,0.8502099211591194,33955.96875,72908.0546875
4188,11,2,22,3,7.0,504.1839599609375,3529.28759765625,2832.771484375,6075.671223958333,1000.0,183.64776296923685,2649.1237214057633,2649.1237214057633,False,0.46624831725661314,0.43602157255636437,True,True,False,62,0.6470974918064388,0.7778866485897413,33993.2578125,72908.0546875
4600,8,5,52,3,6.0,699.4436645507812,4196.662109375,2841.7698567708335,6075.671223958333,760.0,156.124703698237,2685.6451530725963,2685.6451530725963,False,0.46772936717918795,0.4420326666924027,True,True,False,63,0.6616994005916517,0.8113172590001656,34101.23828125,72908.0546875
4711,2,7,71,2,3.0,561.3067016601562,1683.920166015625,2842.4703776041665,6075.671223958333,200.0,59.13491991643732,2783.335457687729,2783.335457687729,False,0.4678446665111483,0.4581115987172148,True,True,False,64,0.6675584495274265,1.1273654679988128,34109.64453125,72908.0546875
4788,10,7,72,3,6.0,401.2020263671875,2407.212158203125,2846.5016276041665,6075.671223958333,1200.0,184.84913953436904,2661.6524880697975,2661.6524880697975,False,0.4685081734474854,0.4380836931356724,True,True,False,65,0.6759341279701144,1.0819633810781897,34158.01953125,72908.0546875
4564,12,5,51,2,8.0,937.5834350585938,7500.66748046875,2849.5361328125,6075.671223958333,1000.0,139.98747406105048,2709.5486587514497,2709.5486587514497,False,0.4690076252934588,0.44596696543862097,True,True,False,66,0.7020320266151706,0.8929370348198851,34194.43359375,72908.0546875
4565,7,5,52,3,4.0,2677.7587890625,10711.03515625,2849.7314453125,6075.671223958333,500.0,86.04082115122233,2763.690624161278,2763.690624161278,False,0.4690397719473511,0.4548782385167837,True,True,False,67,0.7393001111715568,1.452798780015179,34196.77734375,72908.0546875
4107,12,1,12,3,7.0,548.4415283203125,3839.0908203125,2850.9173177083335,6075.671223958333,600.0,103.97977389075159,2746.937543817582,2746.937543817582,False,0.46923495571423385,0.4521208344825376,True,True,False,68,0.7526578827803604,0.8243361425688723,34211.0078125,72908.0546875
4772,10,7,72,3,6.0,479.7154541015625,2878.292724609375,2858.9671223958335,6075.671223958333,0.0,0.0,2858.9671223958335,2858.9671223958335,False,0.470559880054405,0.470559880054405,True,True,False,69,0.7626726437324034,1.0576626381302945,34307.60546875,72908.0546875
4793,10,7,72,3,5.0,351.0517578125,1755.2587890625,2859.5533854166665,6075.671223958333,0.0,0.0,2859.5533854166665,2859.5533854166665,False,0.4706563735938384,0.4706563735938384,True,True,False,70,0.768779908998072,0.8954833522189385,34314.640625,72908.0546875
4791,12,7,72,3,7.0,369.5142822265625,2586.60009765625,2863.4983723958335,6075.671223958333,4200.0,627.5579276177223,2235.940444778111,2235.940444778111,False,0.47130568242470644,0.36801537844264454,True,True,False,71,0.7777797516600355,0.9560870376981212,34361.98046875,72908.0546875
4671,11,6,62,3,7.0,236.1228485107422,1652.8599853515625,2866.2721354166665,6075.671223958333,500.0,71.09254878971207,2795.1795866269545,2795.1795866269545,False,0.47176221848773353,0.46006103417917993,True,True,False,72,0.7835307294876087,1.004726552143366,34395.265625,72908.0546875
4694,7,6,62,3,3.0,394.04608154296875,1182.13818359375,2874.5286458333335,6075.671223958333,340.0,108.87435650636367,2765.65428932697,2765.65428932697,False,0.4731211647032741,0.4552014398707261,True,True,False,73,0.7876438730951896,1.0409552531013953,34494.34375,72908.0546875
4563,1,5,51,2,2.0,842.908447265625,1685.81689453125,2880.9918619791665,6075.671223958333,150.0,86.00735594021496,2794.9845060389516,2794.9845060389516,False,0.47418495105832675,0.4600289256958845,True,True,False,74,0.7935095215274344,0.8720184358665048,34571.90234375,72908.0546875
4759,9,7,72,3,6.0,808.6827392578125,4852.0966796875,2886.7649739583335,6075.671223958333,20.0,2.5086960623165506,2884.256277896017,2884.256277896017,False,0.47513515256962674,0.474722244107361,True,True,False,75,0.8103919560163958,1.3287115100963272,34641.1796875,72908.0546875
4782,8,7,72,3,5.0,284.234130859375,1421.170654296875,2888.7044270833335,6075.671223958333,0.0,0.0,2888.7044270833335,2888.7044270833335,False,0.4754543688427773,0.4754543688427773,True,True,False,76,0.8153367916313257,1.02159900123492,34664.453125,72908.0546875
4106,2,1,12,3,2.0,878.0694580078125,1756.138916015625,2892.0149739583335,6075.671223958333,0.0,0.0,2892.0149739583335,2892.0149739583335,False,0.4759992546262518,0.4759992546262518,True,True,False,77,0.821447119219658,1.061601020108206,34704.1796875,72908.0546875
4333,2,3,31,2,2.0,649.8869018554688,1299.7738037109375,2892.5576171875,6075.671223958333,0.0,0.0,2892.5576171875,2892.5576171875,False,0.4760885687463159,0.4760885687463159,True,True,False,78,0.8259695653991581,1.0583189508462332,34710.69140625,72908.0546875
4688,10,6,62,3,7.0,302.91668701171875,2120.416748046875,2892.9166666666665,6075.671223958333,1500.0,188.29232202463587,2704.624344642031,2704.624344642031,False,0.4761476650117212,0.44515646830539873,True,True,False,79,0.8333473649776496,1.1380480732383633,34715.0,72908.0546875
4667,7,6,62,3,5.0,338.5405578613281,1692.7027587890625,2894.05078125,6075.671223958333,0.0,0.0,2894.05078125,2894.05078125,False,0.47633432991532254,0.47633432991532254,True,True,False,80,0.8392369721559594,1.3637115752046574,34728.609375,72908.0546875
4166,12,2,21,2,10.0,1008.5926513671875,10085.9267578125,2895.7106119791665,6075.671223958333,6600.0,783.1811693597571,2112.5294426194096,2112.5294426194096,False,0.47660752289565056,0.34770305448540795,True,True,False,81,0.8743300481991598,0.8427168908306919,34748.52734375,72908.0546875
4631,12,6,61,2,8.0,290.9071350097656,2327.257080078125,2898.8948567708335,6075.671223958333,0.0,0.0,2898.8948567708335,2898.8948567708335,False,0.4771316205096081,0.4771316205096081,True,True,False,82,0.8824275301306042,1.1639125174387668,34786.73828125,72908.0546875
4089,10,1,12,3,5.0,758.3872680664062,3791.936279296875,2903.1402994791665,6075.671223958333,0.0,0.0,2903.1402994791665,2903.1402994791665,False,0.4778303816097137,0.4778303816097137,True,True,False,83,0.8956212317502654,1.0371250984821205,34837.68359375,72908.0546875
